iter	Passed	Remaining
1421	47732	2618
1422	47764	2584
1423	47797	2551
1424	47822	2516
1425	47863	2483
1426	47902	2450
1427	47936	2416
1428	47967	2383
1429	48002	2349
1430	48030	2315
1431	48062	2282
1432	48091	2248
1433	48117	2214
1434	48147	2180
1435	48175	2147
1436	48202	2113
1437	48230	2079
1438	48254	2045
1439	48279	2011
1440	48316	1978
1441	48351	1944
1442	48416	1912
1443	48459	1879
1444	48535	1847
1445	48621	1815
1446	48664	1782
1447	48701	1748
1448	48726	1715
1449	48758	1681
1450	48787	1647
1451	48814	1613
1452	48845	1580
1453	48876	1546
1454	48911	1512
1455	48945	1479
1456	48985	1445
1457	49026	1412
1458	49053	1378
1459	49085	1344
1460	49111	1310
1461	49144	1277
1462	49174	1243
1463	49209	1210
1464	49238	1176
1465	49267	1142
1466	49298	1108
1467	49329	1075
1468	49356	1041
1469	49389	1007
1470	49440	974
1471	49465	940
1472	49496	907
1473	49526	873
1474	49556	839
1475	49592	806
1476	49622	772
1477	49654	739
1478	49681	705
1479	49710	671
1480	49740	638
1481	49769	604
1482	49795	570
1483	49826	537
1484	49855	503
1485	49894	470
1486	49933	436
1487	49962	402
1488	50000	369
1489	50031	335
1490	50060	302
1491	50087	268
1492	50110	234
1493	50135	201
1494	50158	167
1495	50185	134
1496	50213	100
1497	50246	67
1498	50271	33
1499	50294	0
